Содержание Fe;Магнетит;Доля класса -5мм;Кластер
34.8;82.47;55.15;0
34.6;82.83;55.15;0
33.9;82.83;57.16;3
34.2;84.95;57.16;3
33.8;84.95;58.75;3
34.0;79.22;58.75;3
33.4;79.22;57.99;3
33.9;86.44;57.99;3
33.9;86.44;58.42;3
34.0;82.86;58.42;3
32.7;82.86;57.61;3
32.7;85.84;57.61;3
32.9;85.84;57.34;3
32.8;86.56;57.34;3
33.0;86.56;58.23;3
33.4;84.39;58.23;3
34.0;84.39;50.5;3
33.8;83.08;50.5;3
34.0;83.08;59.17;3
33.9;82.49;59.17;3
34.1;82.49;56.83;3
34.0;80.95;56.83;3
33.5;80.95;56.72;3
33.3;83.4;56.72;3
33.2;83.4;56.73;3
33.3;85.23;56.73;3
33.3;85.23;55.91;3
33.6;84.6;55.91;3
34.4;84.6;53.34;3
34.5;86.35;53.34;3
34.3;86.35;57.17;3
33.6;82.29;57.17;3
34.3;82.29;58.2;3
34.4;86.21;58.2;3
34.6;86.21;58.37;3
34.4;86.19;58.37;3
34.7;86.19;57.11;3
34.7;85.01;57.11;0
35.0;85.01;56.75;0
35.1;83.37;56.75;0
34.4;83.37;56.69;3
34.8;88.08;56.69;0
34.1;88.08;58.41;3
34.5;82.66;58.41;3
33.7;82.66;58.05;3
33.7;86.12;58.05;3
33.4;87.39;56.72;3
32.8;81.44;56.72;3
33.4;81.44;56.28;3
33.2;80.1;56.28;3
33.7;80.1;58.4;3
33.6;80.11;58.4;3
33.7;80.11;60.11;3
33.8;81.54;60.11;3
34.6;81.54;60.29;3
34.8;83.84;60.29;0
33.6;83.84;61.35;3
34.5;80.31;61.35;1
34.3;80.31;60.23;3
34.3;77.4;60.23;1
34.2;77.4;58.99;1
33.9;81.79;58.99;1
33.4;81.79;60.49;1
33.5;80.09;60.49;1
34.6;80.09;57.96;1
34.5;81.02;57.96;1
33.8;81.02;58.84;3
33.5;83.0;58.84;3
35.0;83.0;54.65;0
34.9;81.79;54.65;0
35.0;81.79;61.65;0
35.2;82.97;61.65;0
34.8;82.97;58.65;0
34.5;83.75;58.65;3
33.5;83.75;56.1;3
33.5;82.47;56.1;1
35.0;82.47;57.19;1
34.9;84.52;57.19;0
34.2;84.52;53.58;3
34.3;85.82;53.58;3
34.6;85.82;55.82;3
34.2;84.69;55.82;3
34.4;84.69;56.15;3
34.6;84.96;56.15;0
35.3;84.96;55.38;0
35.0;83.51;55.38;0
34.3;83.51;58.08;3
35.4;79.15;58.08;1
35.1;79.15;54.46;1
34.6;80.45;54.46;1
34.7;80.45;52.61;1
35.1;82.86;52.61;0
33.5;82.86;54.19;3
33.6;80.45;54.19;1
33.7;80.45;54.17;1
33.7;81.38;54.17;1
33.8;81.38;55.22;1
33.7;82.24;55.22;3
33.9;82.24;49.81;1
34.1;85.45;49.81;3
33.7;85.45;55.84;3
33.9;90.42;55.84;3
34.3;90.42;54.42;3
33.8;85.02;54.42;3
34.5;85.02;56.43;0
34.0;86.96;56.43;3
35.0;86.96;53.94;0
34.1;79.64;53.94;1
35.0;79.64;56.44;1
35.2;83.58;56.44;0
34.2;83.58;54.59;3
34.3;86.2;54.59;3
34.0;86.2;53.51;3
34.4;83.47;53.51;1
33.9;83.47;60.06;3
34.6;83.95;60.06;3
33.6;83.95;51.88;3
33.8;87.66;51.88;3
34.5;87.66;48.1;0
33.8;85.37;48.1;3
33.8;85.37;48.88;3
33.8;78.76;48.88;1
35.0;78.76;52.58;1
34.2;77.51;52.58;1
35.2;77.51;50.2;1
35.0;76.17;50.2;1
34.5;76.17;50.82;1
34.6;82.07;50.82;1
34.9;82.07;52.24;1
35.0;81.49;52.24;1
35.2;81.49;51.81;1
34.9;78.84;51.81;1
34.8;78.84;52.72;1
35.2;80.67;52.72;1
36.3;80.67;55.27;1
36.0;82.96;55.27;0
34.8;82.96;54.66;1
36.5;82.43;54.66;1
34.3;82.43;55.66;1
34.5;84.43;55.66;3
35.2;84.43;53.32;0
35.3;83.23;53.32;0
35.3;83.23;53.95;0
35.4;82.81;53.95;0
33.7;82.81;53.19;3
34.4;84.6;53.19;3
33.5;84.6;51.5;2
33.4;88.25;51.5;3
33.7;88.25;52.43;3
34.7;86.84;52.43;2
35.0;86.84;49.11;2
35.2;85.99;49.11;2
35.2;85.99;49.43;2
34.9;85.64;49.43;2
34.8;85.64;49.66;2
35.1;85.81;49.66;2
34.8;85.81;48.66;2
34.9;81.38;48.66;2
34.6;81.38;48.98;2
34.4;83.64;48.98;2
34.2;83.64;51.06;2
34.3;76.72;51.06;1
35.0;76.72;49.67;1
34.8;85.24;49.67;2
34.0;85.24;54.02;1
34.0;83.41;54.02;2
33.8;83.41;52.53;2
33.4;85.56;52.53;2
34.7;85.56;53.54;2
34.7;83.95;53.54;2
34.1;83.95;53.58;2
33.7;80.35;53.58;1
34.1;80.35;52.46;1
34.0;83.57;52.46;2
34.2;83.57;53.52;2
34.0;84.34;53.52;2
34.7;84.34;53.17;2
34.3;82.82;53.17;2
34.6;82.82;52.12;2
34.7;84.16;52.12;2
35.9;84.16;51.72;0
36.0;84.04;51.72;0
33.5;84.04;53.22;3
34.0;85.71;53.22;3
34.1;85.71;52.52;3
34.1;81.59;52.52;3
34.6;81.59;53.27;1
34.4;78.03;53.27;1
33.7;78.03;46.35;1
32.9;81.67;46.35;3
33.0;81.67;49.5;3
34.1;82.04;45.1;3
33.9;82.9;45.1;3
32.6;82.9;46.37;3
32.7;85.84;46.37;3
33.3;85.84;50.76;3
33.2;83.22;50.76;3
33.3;83.22;52.52;3
33.3;84.66;52.52;3
33.8;84.66;52.04;3
33.9;86.38;52.04;3
33.4;86.38;46.04;3
33.4;81.25;46.04;3
31.6;81.25;46.68;3
31.4;84.05;44.27;3
31.8;84.05;42.55;3
31.8;81.09;42.55;3
32.1;81.09;42.01;3
31.9;81.82;42.01;3
33.0;81.82;46.03;3
33.1;82.66;46.03;3
32.9;82.66;48.02;3
32.5;88.22;48.02;3
33.1;88.22;49.21;3
33.3;83.37;49.21;3
31.4;83.37;51.3;3
31.4;81.18;51.3;3
32.9;81.18;47.88;3
33.0;81.18;47.88;3
32.3;81.18;52.43;3
32.4;81.1;52.43;1
33.4;81.1;48.95;1
32.5;84.75;48.95;3
31.5;84.75;45.66;3
33.6;81.8;45.66;3
33.7;81.8;47.63;1
33.5;82.88;47.63;1
32.7;82.88;48.13;3
33.0;86.15;48.13;3
34.5;86.15;49.95;3
34.2;83.3;49.95;3
33.4;83.3;47.33;3
33.7;84.1;47.33;3
34.0;84.1;48.67;3
34.3;86.59;48.67;3
33.9;86.59;44.08;3
33.9;81.13;44.08;3
33.5;81.13;46.37;3
33.7;86.95;46.37;3
33.2;86.95;48.69;3
33.4;79.13;48.69;1
33.2;79.13;49.05;1
33.6;84.66;49.05;3
33.0;84.66;49.6;3
33.5;85.58;49.6;3
33.4;85.58;43.77;3
33.2;84.11;43.77;3
33.0;84.11;43.94;3
33.5;81.23;43.94;3
33.5;81.23;44.6;3
33.4;82.25;44.6;3
32.9;82.25;45.14;3
32.9;80.38;45.14;3
33.8;80.38;48.0;1
33.7;82.8;48.0;3
34.1;82.8;50.93;3
34.1;81.6;50.93;3
33.8;81.6;46.51;2
33.9;80.66;46.51;3
34.6;80.66;52.89;3
32.4;83.2;48.26;3
33.8;82.86;48.26;1
33.5;87.25;48.55;3
33.4;84.57;48.55;3
33.4;84.57;51.35;3
33.2;85.35;51.35;3
34.8;85.35;51.76;0
34.0;87.0;51.76;3
32.8;87.0;51.52;3
34.6;84.98;51.52;0
32.9;79.69;49.11;1
32.9;80.4;49.11;1
33.4;80.4;53.52;1
33.5;80.87;53.52;1
33.8;80.87;52.25;1
33.5;81.29;52.25;3
32.7;81.29;45.04;3
32.6;82.66;45.04;3
33.0;82.66;48.31;3
32.9;82.09;48.31;3
34.0;82.09;51.98;3
33.5;83.83;51.98;3
34.3;83.83;55.33;3
34.4;89.99;55.33;3
34.0;81.81;47.69;1
34.4;81.4;47.69;2
35.2;81.4;49.88;0
35.0;82.64;49.88;0
34.7;82.64;47.87;1
34.8;81.57;47.87;1
34.3;81.57;46.8;1
34.9;81.29;46.8;1
34.9;81.29;50.73;1
34.5;79.81;50.81;1
34.5;84.02;50.81;0
34.0;84.02;47.17;3
34.1;80.63;47.17;1
35.5;80.63;50.23;0
35.0;87.92;50.23;0
33.2;87.92;51.0;3
33.3;85.34;51.0;3
34.5;85.34;50.54;3
34.8;85.96;50.54;0
34.2;85.96;53.9;3
34.7;82.15;53.9;0
34.9;82.15;51.62;0
34.6;83.57;51.62;0
33.8;83.57;53.32;3
33.7;82.0;53.32;3
34.2;82.0;46.23;1
35.3;83.53;46.23;0
35.1;83.53;49.05;2
35.0;84.6;49.05;2
35.1;84.6;48.62;0
35.0;83.9;48.62;1
35.2;83.9;38.59;2
34.8;84.56;38.59;2
35.4;84.56;39.45;2
35.1;85.01;39.45;2
34.2;85.01;48.91;2
34.9;85.35;48.91;2
35.2;85.35;47.2;2
35.2;86.41;47.2;2
33.8;86.41;47.91;2
33.7;84.33;47.91;2
34.7;84.33;48.34;2
34.6;85.49;48.34;2
34.9;85.49;48.81;2
34.8;83.09;48.81;2
34.6;83.09;47.87;1
35.0;82.42;47.87;1
35.0;82.42;47.52;1
35.3;80.46;47.52;1
34.9;80.46;38.9;2
34.3;79.68;38.9;2
34.6;79.68;48.52;2
34.6;84.27;48.52;2
34.5;84.27;45.79;2
34.2;83.62;45.79;2
33.8;83.62;52.26;3
34.4;83.49;52.26;3
34.0;83.49;50.19;3
34.1;83.15;50.19;1
34.6;83.15;46.3;2
34.5;83.13;46.3;2
34.4;83.13;48.72;2
34.5;81.78;48.72;2
36.8;81.78;52.17;0
36.7;82.73;52.17;0
36.6;82.73;54.71;0
36.7;85.55;54.71;0
34.8;85.55;49.68;0
34.6;85.49;49.68;2
34.4;85.49;44.5;3
34.7;82.98;44.5;1
35.1;82.98;49.1;0
35.6;86.36;49.1;0
35.0;86.36;49.48;0
35.5;84.4;49.48;0
34.7;84.4;35.65;2
34.6;92.74;35.65;2
35.0;92.74;44.8;0
35.7;82.13;44.8;2
35.1;82.13;49.7;0
35.8;88.06;49.7;0
34.7;88.06;51.24;0
35.1;87.48;51.24;0
34.4;87.48;46.7;3
34.3;87.74;46.7;3
34.6;87.74;50.79;0
34.4;84.03;50.79;1
35.0;84.03;50.25;1
35.1;86.77;50.25;0
35.7;86.77;47.15;2
34.5;85.81;47.15;2
35.2;85.81;47.43;0
35.1;82.37;47.43;1
33.3;82.37;49.07;2
33.7;87.03;49.07;2
34.3;87.03;48.81;2
35.0;84.44;48.81;2
35.1;84.44;50.34;0
35.6;86.31;50.34;0
35.2;86.31;51.19;0
34.6;82.93;40.77;2
34.0;83.39;40.77;2
35.0;83.39;41.45;2
35.4;87.23;41.45;2
33.7;87.23;46.07;2
33.7;87.15;46.07;2
35.2;87.15;46.11;2
34.0;82.94;46.11;2
35.3;82.94;44.56;2
34.5;87.53;44.56;2
34.6;87.53;43.8;2
34.3;86.38;43.8;2
33.0;86.38;46.9;3
34.4;85.71;46.9;2
33.9;85.71;46.89;2
34.5;85.59;46.89;2
34.2;85.59;44.89;2
34.3;85.59;44.89;2
34.7;85.59;42.17;2
34.0;83.47;42.17;2
34.3;83.47;48.9;2
34.6;83.28;48.9;2
35.5;83.28;46.81;2
35.0;84.83;46.81;2
34.8;84.83;51.04;2
34.8;84.22;51.04;2
35.6;84.22;46.75;2
35.2;87.59;46.75;2
35.4;87.59;49.01;2
35.5;84.71;49.01;2
35.6;84.71;46.92;2
35.3;86.65;46.92;2
34.9;86.65;48.56;2
35.8;84.47;48.56;2
35.3;84.47;48.01;2
34.9;78.51;48.01;1
35.1;78.51;49.42;1
35.2;77.62;49.42;1
35.2;77.62;50.31;1
35.0;83.66;50.31;1
35.0;83.66;50.73;1
34.9;80.21;50.73;1
34.8;80.21;51.71;1
34.9;79.43;51.71;1
34.4;79.43;47.16;1
34.8;83.42;47.16;2
35.1;83.42;48.97;2
35.0;81.6;48.97;1
34.8;81.6;49.12;1
34.9;82.64;49.12;2
34.3;82.64;52.53;1
34.1;81.56;52.53;1
34.7;81.56;54.43;1
34.4;82.94;54.43;1
35.2;82.94;54.79;1
34.9;84.02;54.79;1
35.3;84.02;51.9;0
34.9;84.74;51.9;0
34.7;84.74;50.25;0
34.6;82.33;50.25;2
35.6;82.33;54.65;0
35.7;80.28;54.65;1
35.3;80.28;52.73;1
35.0;84.31;52.73;1
35.7;84.31;51.87;1
35.9;83.51;51.87;1
35.5;83.51;47.41;1
35.7;82.43;47.41;1
35.0;82.43;48.97;1
34.9;81.65;48.97;1
35.5;81.65;51.76;1
35.4;81.83;51.76;1
33.6;81.83;50.09;1
33.5;80.02;50.09;1
35.6;80.02;50.06;1
34.8;82.59;50.06;1
35.8;82.59;51.66;1
35.5;80.54;51.66;1
34.9;80.54;50.28;1
35.3;81.43;50.28;1
34.8;81.43;52.81;1
34.3;81.76;52.81;1
34.3;81.76;52.21;1
34.6;81.61;52.21;1
36.1;81.61;54.85;1
35.0;82.75;54.85;1
36.3;82.75;54.15;1
35.5;83.37;54.15;0
35.4;82.42;54.39;1
35.1;82.42;48.03;1
35.3;83.28;48.03;0
35.3;83.28;53.04;0
35.0;82.05;53.04;1
35.8;82.05;48.24;1
35.6;84.93;48.24;0
35.9;84.93;53.55;0
35.8;80.43;53.55;1
35.3;80.43;53.55;1
35.2;83.94;53.55;0
35.3;80.67;51.64;1
36.2;82.96;51.64;0
36.1;82.96;52.52;0
36.3;82.43;52.52;0
35.1;82.43;53.24;0
35.2;84.43;53.24;0
35.0;84.43;53.09;0
34.9;83.23;53.09;1
35.0;83.23;52.5;1
35.1;84.09;52.5;0
35.6;84.09;50.45;0
35.4;82.88;50.45;0
35.8;86.82;51.06;0
35.9;79.06;51.06;1
35.6;79.06;53.27;1
35.5;81.83;53.27;0
34.8;81.83;55.44;0
34.8;77.64;55.44;1
35.4;77.64;53.89;1
35.6;81.14;53.89;1
35.5;81.14;54.04;1
34.0;80.74;55.43;1
34.4;83.95;55.43;3
33.9;83.95;35.22;2
34.0;81.97;35.22;2
34.1;81.97;49.62;1
33.8;83.93;49.62;3
34.5;83.93;52.98;3
34.2;83.04;52.98;1
33.9;83.04;53.11;3
34.5;85.5;53.11;3
34.2;85.5;53.23;3
34.0;89.26;53.23;3
33.2;89.26;51.96;3
33.3;85.64;51.96;3
34.1;85.64;57.14;3
34.2;88.45;57.14;3
34.7;88.45;52.17;0
34.6;81.84;52.17;3
34.8;81.84;34.0;2
35.5;86.75;34.0;2
35.3;86.75;42.86;0
35.3;81.47;42.86;1
34.6;81.47;46.85;1
35.5;77.19;46.85;1
35.2;84.52;46.82;0
34.8;84.52;48.72;0
35.2;80.24;48.72;1
33.9;80.24;48.25;1
33.8;84.21;48.25;3
33.5;84.21;58.08;3
33.5;81.29;58.08;1
33.9;81.29;55.79;1
33.8;82.62;55.79;3
33.8;82.62;56.94;3
34.1;83.7;56.94;3
34.8;83.7;56.43;0
34.2;84.8;56.43;3
35.2;84.8;57.37;0
34.8;83.41;57.37;0
33.4;82.12;54.7;3
33.8;80.08;54.7;1
35.1;80.08;53.76;1
35.2;87.61;53.76;0
34.2;87.61;54.12;3
34.5;86.02;54.12;3
35.1;86.02;54.59;0
34.9;82.03;54.59;1
34.7;82.03;54.99;1
34.8;86.49;54.99;0
35.1;86.49;56.0;0
35.4;86.93;56.0;0
34.8;86.93;56.22;0
34.6;77.78;56.22;1
33.5;77.78;55.42;1
33.6;85.57;55.42;3
35.4;85.57;54.94;0
35.5;86.22;54.94;0
35.6;86.22;56.37;0
35.4;91.71;56.37;0
35.2;91.71;57.23;0
35.3;88.5;57.23;0
34.1;88.5;55.16;3
33.8;87.11;55.16;3
35.1;87.11;56.23;0
34.8;85.92;56.23;0
35.6;85.92;55.45;0
35.3;80.13;55.45;1
33.8;81.95;60.43;1
34.0;81.14;60.43;3
34.1;81.14;57.16;1
34.0;87.17;57.16;3
34.8;87.17;58.68;0
34.9;86.56;58.68;0
34.2;86.56;59.57;3
34.7;86.48;59.57;0
34.1;86.48;60.43;3
34.5;88.79;60.43;3
33.5;88.79;59.85;3
33.7;81.6;59.85;1
34.2;81.6;56.95;1
34.2;81.9;56.95;1
35.1;81.9;56.1;1
35.0;81.8;56.1;1
34.4;81.8;54.64;1
34.5;84.01;54.64;3
34.4;84.01;53.61;3
34.1;86.81;53.61;3
34.6;86.81;58.03;3
34.4;83.27;58.03;3
35.6;83.27;58.04;0
35.7;82.59;58.04;0
35.1;82.59;57.64;0
35.7;85.78;57.64;0
35.0;85.78;56.56;0
34.9;84.66;56.56;0
34.7;84.66;56.38;0
35.2;86.74;56.38;0
34.4;86.74;56.39;3
35.0;86.81;56.39;0
35.2;86.81;57.52;0
35.4;88.55;57.52;0
34.5;88.55;56.67;3
34.6;85.27;56.67;3
34.8;85.27;58.43;0
34.7;85.95;58.43;0
34.3;85.95;58.3;3
34.1;86.56;58.3;3
34.8;86.56;58.87;0
35.1;85.64;58.87;0
34.5;85.64;58.73;3
34.9;85.86;58.73;0
35.2;85.86;54.84;0
35.3;78.22;54.84;1
34.1;78.22;60.03;1
34.5;82.81;60.03;1
35.0;82.81;57.07;0
34.8;77.88;57.07;1
35.7;77.88;58.6;1
35.9;83.24;58.6;0
34.7;83.24;57.76;0
34.8;86.21;57.76;0
36.0;86.21;56.31;0
35.5;84.64;56.31;0
34.6;84.64;56.82;3
34.7;79.27;56.82;1
35.6;79.27;58.74;1
34.5;79.72;58.74;3
34.1;79.72;58.14;3
33.9;88.53;58.14;3
34.1;88.53;57.49;3
34.3;79.6;57.49;3
34.3;79.6;53.38;3
34.2;85.29;53.38;3
33.4;85.29;58.21;3
33.5;88.84;58.21;3
34.1;88.84;59.79;3
33.8;90.74;59.79;3
34.4;90.74;55.82;3
34.6;87.91;55.82;3
33.3;87.91;48.39;3
33.4;88.73;48.39;3
34.7;88.73;54.49;3
33.8;86.64;54.49;3
32.4;86.64;58.3;3
32.6;84.77;57.86;3
32.9;87.36;56.58;3
32.2;87.36;62.34;3
33.4;84.88;63.09;3
34.0;86.54;61.85;3
34.1;87.5;61.85;3
32.7;87.5;59.88;3
32.5;80.01;59.88;3
32.8;80.01;60.08;3
33.0;83.35;60.08;3
33.1;83.35;58.46;3
33.2;80.68;58.46;3
31.5;80.68;56.84;3
33.1;83.37;56.84;3
32.1;83.37;57.94;3
32.4;82.42;57.23;3
32.7;82.42;59.37;3
33.5;80.11;59.37;3
33.2;78.61;54.14;3
32.8;78.61;54.31;3
33.3;82.18;54.31;3
33.0;82.18;54.92;3
33.1;86.09;54.92;3
32.3;86.09;50.89;3
32.6;84.43;50.89;3
33.3;84.43;55.28;3
33.1;85.01;55.28;3
33.6;85.01;56.12;3
33.4;86.12;56.12;3
33.8;86.12;55.02;3
33.8;85.54;55.02;3
34.8;84.61;56.13;0
34.7;86.91;56.13;0
33.4;86.91;57.19;3
33.3;83.33;57.19;3
33.1;83.33;55.32;3
33.4;87.39;55.32;3
33.7;85.81;55.95;3
33.4;85.81;57.71;3
33.9;86.8;57.71;3
33.3;86.27;58.27;3
33.1;82.64;58.27;3
34.0;82.64;58.4;3
33.3;83.0;58.4;3
33.7;83.0;55.95;3
33.5;82.9;55.95;3
33.2;82.9;59.89;3
33.5;87.53;59.89;3
33.5;86.68;58.56;3
33.2;83.54;58.56;3
33.0;82.05;58.96;3
33.0;82.05;61.38;3
33.2;86.46;61.38;3
33.5;86.46;58.14;3
33.0;79.71;58.14;3
33.8;79.71;58.81;1
33.9;79.41;58.81;1
34.1;79.41;59.06;1
34.4;80.92;59.06;1
32.8;80.92;58.93;3
33.6;83.45;58.3;3
33.9;83.4;58.3;3
34.0;83.4;65.32;3
34.1;83.22;65.32;1
33.3;83.22;59.49;1
33.5;85.94;59.49;3
33.5;85.94;58.72;3
33.8;86.47;58.72;3
35.5;86.47;60.48;0
33.9;85.93;60.48;3
34.0;85.93;60.41;3
34.0;81.34;60.41;3
34.4;81.34;61.89;1
34.4;87.2;61.89;3
34.5;87.2;60.14;3
34.4;87.23;60.14;3
34.5;87.23;62.04;0
34.7;87.31;62.04;0
33.5;87.31;59.09;3
33.8;85.35;59.09;3
34.5;85.35;53.81;0
34.6;86.08;53.81;0
34.4;86.08;56.2;3
34.2;79.7;56.2;3
34.2;79.7;55.84;3
33.9;82.17;55.84;3
34.8;82.17;57.49;0
34.3;84.58;57.49;3
34.7;84.58;56.89;0
34.9;80.65;56.89;1
34.5;83.17;54.64;3
34.9;80.59;54.64;1
34.7;81.95;53.28;1
33.3;82.39;53.28;1
34.6;82.39;57.66;1
34.1;82.22;57.66;3
35.0;82.22;57.69;0
34.0;82.49;57.69;3
35.6;82.49;57.76;0
35.7;81.67;57.76;0
34.8;81.67;57.27;0
35.3;79.28;57.27;1
34.2;79.28;56.02;1
34.1;82.44;56.02;3
